instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp,total timeelapsed in nanoseconds,total timeelapsed in seconds 
0,0,100.0,0.0,0.0,1275026726,73926895801,73
0,0,100.0,0.0,0.0,1275253924,73926895801,73
1,0,100.0,0.0,0.0,1275258094,73926895801,73
1,0,100.0,0.0,0.0,1275357380,73926895801,73
0,0,100.0,0.0,0.0,1275405691,73926895801,73
0,0,100.0,0.0,0.0,1275425230,73926895801,73
0,0,100.0,0.0,0.0,1275425286,73926895801,73
0,0,100.0,0.0,0.0,1275428163,73926895801,73
1,0,100.0,0.0,0.0,1276191547,73926895801,73
0,0,100.0,0.0,0.0,1276206224,73926895801,73
0,0,100.0,0.0,0.0,1276216901,73926895801,73
0,0,100.0,0.0,0.0,1276222371,73926895801,73
0,0,100.0,0.0,0.0,1276222463,73926895801,73
1,0,100.0,0.0,0.0,1276247046,73926895801,73
0,0,100.0,0.0,0.0,1276247293,73926895801,73
0,0,100.0,0.0,0.0,1276276120,73926895801,73
1,0,100.0,0.0,0.0,1276278312,73926895801,73
1,1,100.0,0.0,0.0,1276278331,73926895801,73
1,0,100.0,0.0,0.0,1276278401,73926895801,73
0,0,100.0,0.0,0.0,1276278496,73926895801,73
1,0,100.0,0.0,0.0,1276279672,73926895801,73
1,0,100.0,0.0,0.0,1276279785,73926895801,73
1,0,100.0,0.0,0.0,1276280003,73926895801,73
0,0,100.0,0.0,0.0,1276290374,73926895801,73
0,0,100.0,0.0,0.0,1276290395,73926895801,73
0,0,100.0,0.0,0.0,1276290424,73926895801,73
0,0,100.0,0.0,0.0,1276290427,73926895801,73
0,0,100.0,0.0,0.0,1276387520,73926895801,73
0,0,100.0,0.0,0.0,1276387595,73926895801,73
0,0,100.0,0.0,0.0,1276392267,73926895801,73
1,0,100.0,0.0,0.0,1276623754,73926895801,73
1,0,100.0,0.0,0.0,1276999528,73926895801,73
0,0,100.0,0.0,0.0,1277071705,73926895801,73
0,0,100.0,0.0,0.0,1277071757,73926895801,73
0,0,100.0,0.0,0.0,1277071757,73926895801,73
0,0,100.0,0.0,0.0,1277071757,73926895801,73
0,0,100.0,0.0,0.0,1277071757,73926895801,73
0,0,100.0,0.0,0.0,1277071757,73926895801,73
0,0,100.0,0.0,0.0,1277071757,73926895801,73
0,0,100.0,0.0,0.0,1277071798,73926895801,73
0,0,100.0,0.0,0.0,1277079536,73926895801,73
0,0,100.0,0.0,0.0,1277138679,73926895801,73
1,0,100.0,0.0,0.0,1277267797,73926895801,73
0,0,100.0,0.0,0.0,1277268178,73926895801,73
1,0,100.0,0.0,0.0,1277320716,73926895801,73
1,0,100.0,0.0,0.0,1277340362,73926895801,73
0,0,100.0,0.0,0.0,1277349109,73926895801,73
1,0,100.0,0.0,0.0,1277349113,73926895801,73
1,0,100.0,0.0,0.0,1277349113,73926895801,73
0,0,100.0,0.0,0.0,1277349114,73926895801,73
0,0,100.0,0.0,0.0,1277349114,73926895801,73
0,0,100.0,0.0,0.0,1277349114,73926895801,73
1,0,100.0,0.0,0.0,1277349114,73926895801,73
1,0,100.0,0.0,0.0,1277349114,73926895801,73
0,0,100.0,0.0,0.0,1277349114,73926895801,73
1,0,100.0,0.0,0.0,1277349114,73926895801,73
1,0,100.0,0.0,0.0,1277349114,73926895801,73
1,0,100.0,0.0,0.0,1277349114,73926895801,73
